Incident Datetime,Report Datetime,Incident Date,Incident ID,Incident Number,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Police District,Analysis Neighborhood,Supervisor District
2020/03/01,2020/03/01,2020/03/01,908243,200154243,04014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,Northern,Nob Hill,3
2020/03/01,2020/03/01,2020/03/01,908254,200154312,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,Southern,South of Market,6
2020/03/01,2020/03/01,2020/03/01,908259,200154384,04136,Assault,Simple Assault,Battery with Serious Injuries,Open or Active,Ingleside,Bernal Heights,9
2020/03/01,2020/03/01,2020/03/01,908310,200154469,04134,Assault,Simple Assault,Battery,Open or Active,Mission,Mission,8
2020/03/01,2020/03/01,2020/03/01,908327,200154685,04136,Assault,Simple Assault,Battery with Serious Injuries,Open or Active,Tenderloin,Tenderloin,6
2020/03/01,2020/03/01,2020/03/01,908333,200154845,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,Tenderloin,Tenderloin,6
2020/03/01,2020/03/01,2020/03/01,908333,200154845,04134,Assault,Simple Assault,Battery,Open or Active,Tenderloin,Tenderloin,6
2020/03/01,2020/03/01,2020/03/01,908337,200154748,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,Taraval,Sunset/Parkside,4
2020/03/01,2020/03/01,2020/03/01,908424,200155144,04134,Assault,Simple Assault,Battery,Open or Active,Mission,Mission,8
2020/03/01,2020/03/01,2020/03/01,908435,200155417,04134,Assault,Simple Assault,Battery,Open or Active,Tenderloin,Tenderloin,6
2020/03/01,2020/03/01,2020/03/01,908454,200155843,04014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,Central,Tenderloin,6
2020/03/01,2020/03/01,2020/03/01,908458,200156045,04012,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",Open or Active,Mission,Mission,9
