Analysis Neighborhood,Incident Category,Incident Number
Potrero Hill,Burglary,207
Visitacion Valley,Other Miscellaneous,140
Nob Hill,Vehicle Impounded,2
Western Addition,Suspicious Occ,73
Japantown,Homicide,1
Lakeshore,Arson,7
Seacliff,Assault,6
North Beach,Other,35
Mission,Larceny Theft,4711
Excelsior,Fire Report,3
Western Addition,Weapons Carrying Etc,26
McLaren Park,Miscellaneous Investigation,1
Excelsior,Vehicle Misplaced,1
Twin Peaks,Burglary,58
Castro/Upper Market,Missing Person,63
Portola,Burglary,78
Pacific Heights,Vandalism,10
Mission Bay,Other Miscellaneous,228
Presidio,Burglary,10
Inner Richmond,Assault,111
Haight Ashbury,Case Closure,39
Bayview Hunters Point,Burglary,402
Russian Hill,Weapons Offense,13
Tenderloin,Liquor Laws,2
Nob Hill,Disorderly Conduct,97
Outer Mission,Motor Vehicle Theft,152
Inner Sunset,Motor Vehicle Theft,115
Seacliff,Miscellaneous Investigation,1
Lone Mountain/USF,Motor Vehicle Theft,135
Potrero Hill,Weapons Carrying Etc,7
Russian Hill,Fraud,115
Western Addition,Burglary,212
McLaren Park,Assault,11
Potrero Hill,Suspicious Occ,54
Outer Mission,Suicide,1
Japantown,Embezzlement,2
Portola,Weapons Carrying Etc,9
Bayview Hunters Point,Suspicious Occ,316
Golden Gate Park,Traffic Collision,7
Twin Peaks,Weapons Carrying Etc,4
Lone Mountain/USF,Suicide,1
Presidio,Suspicious Occ,5
Outer Richmond,Missing Person,83
Japantown,Robbery,30
Haight Ashbury,Warrant,128
Hayes Valley,Vandalism,9
Mission,"Human Trafficking (A), Commercial Sex Acts",3
Bayview Hunters Point,Weapons Carrying Etc,154
Inner Richmond,Miscellaneous Investigation,26
Marina,Stolen Property,31
North Beach,Other Offenses,27
Portola,Suspicious Occ,50
Haight Ashbury,Sex Offense,10
Twin Peaks,Suspicious Occ,13
Mission,Offences Against The Family And Children,393
Financial District/South Beach,Recovered Vehicle,132
Excelsior,Weapons Offense,29
Mission,Arson,50
Outer Richmond,Robbery,53
Japantown,Missing Person,18
Sunset/Parkside,Motor Vehicle Theft?,3
Outer Richmond,Embezzlement,2
Visitacion Valley,Non-Criminal,140
West of Twin Peaks,Burglary,248
Hayes Valley,Forgery And Counterfeiting,21
Noe Valley,Offences Against The Family And Children,19
Lakeshore,Larceny Theft,992
Glen Park,Other,13
Russian Hill,Vehicle Misplaced,3
South of Market,Disorderly Conduct,297
Golden Gate Park,Family Offense,2
Chinatown,Weapons Carrying Etc,21
Russian Hill,Fire Report,4
Treasure Island,Weapons Carrying Etc,4
Mission Bay,Non-Criminal,224
Castro/Upper Market,Drug Violation,1
Marina,Case Closure,11
Oceanview/Merced/Ingleside,Vehicle Impounded,1
Treasure Island,Suspicious Occ,25
McLaren Park,Malicious Mischief,11
Chinatown,Suspicious Occ,114
Pacific Heights,Forgery And Counterfeiting,12
Castro/Upper Market,Embezzlement,2
West of Twin Peaks,Suspicious Occ,86
Castro/Upper Market,Robbery,93
Financial District/South Beach,Traffic Violation Arrest,146
Inner Richmond,Malicious Mischief,153
West of Twin Peaks,Weapons Carrying Etc,10
North Beach,Courtesy Report,2
Seacliff,Lost Property,3
Inner Richmond,Lost Property,84
Chinatown,Burglary,182
South of Market,Vehicle Impounded,11
Sunset/Parkside,Drug Offense,31
Outer Richmond,Homicide,1
Treasure Island,Burglary,42
Seacliff,Malicious Mischief,10
Marina,Warrant,62
Noe Valley,Larceny Theft,554
Excelsior,Fraud,102
Lakeshore,Offences Against The Family And Children,50
Haight Ashbury,Stolen Property,7
Marina,Sex Offense,25
Glen Park,Other Offenses,11
Oceanview/Merced/Ingleside,Disorderly Conduct,44
Nob Hill,Motor Vehicle Theft,224
Pacific Heights,Missing Person,48
Sunset/Parkside,Vehicle Misplaced,2
Inner Sunset,Disorderly Conduct,36
Outer Mission,Disorderly Conduct,77
Sunset/Parkside,Fire Report,5
Lone Mountain/USF,Disorderly Conduct,41
Castro/Upper Market,Vandalism,9
Visitacion Valley,Assault,181
Tenderloin,Traffic Collision,34
Seacliff,Other Miscellaneous,8
Potrero Hill,Offences Against The Family And Children,52
Chinatown,Arson,21
Portola,Offences Against The Family And Children,53
Nob Hill,Suicide,4
Mission,Suspicious Occ,362
Twin Peaks,Offences Against The Family And Children,10
Mission Bay,Assault,142
Portola,"Human Trafficking (A), Commercial Sex Acts",1
Bayview Hunters Point,Offences Against The Family And Children,396
Western Addition,Larceny Theft,2230
Inner Richmond,Other Miscellaneous,155
Presidio,Offences Against The Family And Children,5
Mission,Weapons Carrying Etc,198
Bayview Hunters Point,"Human Trafficking (A), Commercial Sex Acts",2
Lone Mountain/USF,Vehicle Impounded,2
Japantown,Forgery And Counterfeiting,10
Russian Hill,Drug Offense,27
Twin Peaks,Larceny Theft,558
Outer Richmond,Vandalism,3
Haight Ashbury,Traffic Violation Arrest,41
Outer Mission,Vehicle Impounded,14
Presidio Heights,Family Offense,3
Portola,Larceny Theft,591
Visitacion Valley,Miscellaneous Investigation,43
Presidio,Larceny Theft,287
Hayes Valley,Missing Person,97
Western Addition,Offences Against The Family And Children,155
McLaren Park,Other Miscellaneous,19
Bayview Hunters Point,Larceny Theft,1859
Bernal Heights,Traffic Collision,6
Potrero Hill,Larceny Theft,1121
Mission Bay,Miscellaneous Investigation,37
West of Twin Peaks,Arson,5
Mission,Burglary,688
Financial District/South Beach,Stolen Property,103
Marina,Recovered Vehicle,56
Treasure Island,Larceny Theft,107
Chinatown,Larceny Theft,1012
Presidio Heights,Traffic Collision,2
Seacliff,Non-Criminal,25
West of Twin Peaks,Offences Against The Family And Children,63
Bernal Heights,Family Offense,5
Noe Valley,Burglary,203
Sunset/Parkside,Suspicious,1
Russian Hill,Civil Sidewalks,2
Castro/Upper Market,Rape,1
Sunset/Parkside,Weapons Offense,18
Oceanview/Merced/Ingleside,Suicide,1
